,vendor, Model,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP
168,ncr,v8665,38.0,8000.0,24000.0,160.0,4.0,8.0,140.0,281.0
169,ncr,v8670,38.0,4000.0,16000.0,128.0,16.0,32.0,212.0,190.0
170,nixdorf,8890/30,200.0,1000.0,2000.0,0.0,1.0,2.0,25.0,21.0
171,nixdorf,8890/50,200.0,1000.0,4000.0,0.0,1.0,4.0,30.0,25.0
172,nixdorf,8890/70,200.0,2000.0,8000.0,64.0,1.0,5.0,41.0,67.0
173,perkin-elmer,3205,250.0,512.0,4000.0,0.0,1.0,7.0,25.0,24.0
174,perkin-elmer,3210,250.0,512.0,4000.0,0.0,4.0,7.0,50.0,24.0
175,perkin-elmer,3230,250.0,1000.0,16000.0,1.0,1.0,8.0,50.0,64.0
176,prime,50-2250,160.0,512.0,4000.0,2.0,1.0,5.0,30.0,25.0
177,prime,50-250-ii,160.0,512.0,2000.0,2.0,3.0,8.0,32.0,20.0
178,prime,50-550-ii,160.0,1000.0,4000.0,8.0,1.0,14.0,38.0,29.0
179,prime,50-750-ii,160.0,1000.0,8000.0,16.0,1.0,14.0,60.0,43.0
180,prime,50-850-ii,160.0,2000.0,8000.0,32.0,1.0,13.0,109.0,53.0
181,siemens,7.521,240.0,512.0,1000.0,8.0,1.0,3.0,6.0,19.0
182,siemens,7.531,240.0,512.0,2000.0,8.0,1.0,5.0,11.0,22.0
183,siemens,7.536,105.0,2000.0,4000.0,8.0,3.0,8.0,22.0,31.0
184,siemens,7.541,105.0,2000.0,6000.0,16.0,6.0,16.0,33.0,41.0
185,siemens,7.551,105.0,2000.0,8000.0,16.0,4.0,14.0,58.0,47.0
186,siemens,7.561,52.0,4000.0,16000.0,32.0,4.0,12.0,130.0,99.0
187,siemens,7.865-2,70.0,4000.0,12000.0,8.0,6.0,8.0,75.0,67.0
188,siemens,7.870-2,59.0,4000.0,12000.0,32.0,6.0,12.0,113.0,81.0
189,siemens,7.872-2,59.0,8000.0,16000.0,64.0,12.0,24.0,188.0,149.0
190,siemens,7.875-2,26.0,8000.0,24000.0,32.0,8.0,16.0,173.0,183.0
191,siemens,7.880-2,26.0,8000.0,32000.0,64.0,12.0,16.0,248.0,275.0
192,siemens,7.881-2,26.0,8000.0,32000.0,128.0,24.0,32.0,405.0,382.0
193,sperry,1100/61-h1,116.0,2000.0,8000.0,32.0,5.0,28.0,70.0,56.0
194,sperry,1100/81,50.0,2000.0,32000.0,24.0,6.0,26.0,114.0,182.0
195,sperry,1100/82,50.0,2000.0,32000.0,48.0,26.0,52.0,208.0,227.0
196,sperry,1100/83,50.0,2000.0,32000.0,112.0,52.0,104.0,307.0,341.0
197,sperry,1100/84,50.0,4000.0,32000.0,112.0,52.0,104.0,397.0,360.0
198,sperry,1100/93,30.0,8000.0,64000.0,96.0,12.0,176.0,915.0,919.0
199,sperry,1100/94,30.0,8000.0,64000.0,128.0,12.0,176.0,1150.0,978.0
200,sperry,80/3,180.0,262.0,4000.0,0.0,1.0,3.0,12.0,24.0
201,sperry,80/4,180.0,512.0,4000.0,0.0,1.0,3.0,14.0,24.0
202,sperry,80/5,180.0,262.0,4000.0,0.0,1.0,3.0,18.0,24.0
203,sperry,80/6,180.0,512.0,4000.0,0.0,1.0,3.0,21.0,24.0
204,sperry,80/8,124.0,1000.0,8000.0,0.0,1.0,8.0,42.0,37.0
205,sperry,90/80-model-3,98.0,1000.0,8000.0,32.0,2.0,8.0,46.0,50.0
206,sratus,32,125.0,2000.0,8000.0,0.0,2.0,14.0,52.0,41.0
207,wang,vs-100,480.0,512.0,8000.0,32.0,0.0,0.0,67.0,47.0
208,wang,vs-90,480.0,1000.0,4000.0,0.0,0.0,0.0,45.0,25.0
